main,equine,man,global
fuel_00016,EQUINE_fuel_00016,MANN_fuel_00016,GLOBAL_fuel_00016
fuel_00017,EQUINE_fuel_00017,MANN_fuel_00017,GLOBAL_fuel_00017
fuel_00101,EQUINE_fuel_00101,MANN_fuel_00101,GLOBAL_fuel_00101
fuel_00102,EQUINE_fuel_00102,MANN_fuel_00102,GLOBAL_fuel_00102
fuel_00019,EQUINE_fuel_00019,MANN_fuel_00019,GLOBAL_fuel_00019
fuel_00098,EQUINE_fuel_00098,MANN_fuel_00098,GLOBAL_fuel_00098
fuel_00103,EQUINE_fuel_00103,MANN_fuel_00103,GLOBAL_fuel_00103
fuel_00106,EQUINE_fuel_00106,MANN_fuel_00106,GLOBAL_fuel_00106
fuel_00107,EQUINE_fuel_00107,MANN_fuel_00107,GLOBAL_fuel_00107
fuel_00108,EQUINE_fuel_00108,MANN_fuel_00108,GLOBAL_fuel_00108
fuel_00018,EQUINE_fuel_00018,MANN_fuel_00018,GLOBAL_fuel_00018
fuel_00104,EQUINE_fuel_00104,MANN_fuel_00104,GLOBAL_fuel_00104
fuel_00105,EQUINE_fuel_00105,MANN_fuel_00105,GLOBAL_fuel_00105
fuel_00020,EQUINE_fuel_00020,MANN_fuel_00020,GLOBAL_fuel_00020
fuel_00021,EQUINE_fuel_00021,MANN_fuel_00021,GLOBAL_fuel_00021
fuel_00022,EQUINE_fuel_00022,MANN_fuel_00022,GLOBAL_fuel_00022
fuel_00012,EQUINE_fuel_00012,MANN_fuel_00012,NA
fuel_00109,EQUINE_fuel_00109,MANN_fuel_00109,NA
fuel_00014,EQUINE_fuel_00014,MANN_fuel_00014,NA
fuel_00015,EQUINE_fuel_00015,MANN_fuel_00015,NA
fuel_00110,EQUINE_fuel_00110,MANN_fuel_00110,NA
fuel_00112,EQUINE_fuel_00112,MANN_fuel_00112,GLOBAL_fuel_00112
fuel_00111,EQUINE_fuel_00111,MANN_fuel_00111,GLOBAL_fuel_00111
fuel_00100,EQUINE_fuel_00100,MANN_fuel_00100,GLOBAL_fuel_00100
fuel_00099,EQUINE_fuel_00099,MANN_fuel_00099,GLOBAL_fuel_00099
fuel_00001,EQUINE_fuel_00001,MANN_fuel_00001,GLOBAL_fuel_00001
fuel_00002,EQUINE_fuel_00002,MANN_fuel_00002,GLOBAL_fuel_00002
fuel_000162,EQUINE_fuel_00115,MANN_fuel_00115,GLOBAL_fuel_000162
fuel_000163,EQUINE_fuel_00116,MANN_fuel_00116,GLOBAL_fuel_000163
fuel_000166,EQUINE_fuel_000166,MANN_fuel_000166,GLOBAL_fuel_000166
fuel_00080,EQUINE_fuel_00080,MANN_fuel_00080,GLOBAL_fuel_00080
fuel_00081,EQUINE_fuel_00081,MANN_fuel_00081,GLOBAL_fuel_00081
fuel_00005,EQUINE_fuel_00005,MANN_fuel_00005,GLOBAL_fuel_00005
fuel_000161,EQUINE_fuel_00114,MANN_fuel_00114,GLOBAL_fuel_000161
fuel_000165,EQUINE_fuel_000165,MANN_fuel_000165,GLOBAL_fuel_000165
fuel_00004,EQUINE_fuel_00004,MANN_fuel_00004,GLOBAL_fuel_00004
fuel_00006,EQUINE_fuel_00006,MANN_fuel_00006,GLOBAL_fuel_00006
fuel_000164,EQUINE_fuel_000164,MANN_fuel_000164,GLOBAL_fuel_000164
fuel_00003,EQUINE_fuel_00003,MANN_fuel_00003,GLOBAL_fuel_00003
